model,pr_auc,roc_auc,recall,precision,threshold,expected_cost,recall_at_precision_90
threshold motor_temp>80,0.08848187598388839,0.7323934156518077,0.05321929199334759,0.2413793103448276,,,
always predict no-failure,0.026571969696969698,0.5,0.0,,,,
logistic_regression,0.7058023773339731,0.9915699183610894,0.9655500118793062,0.4633451145821457,0.911,996050.0,0.0017
random_forest,0.8920856510485919,0.9970886319730338,0.9703017343787123,0.6926729986431479,0.4222,521800.0,0.4785
gradient_boosting,0.9532016335850222,0.9986465020884246,0.9736279401282965,0.7337511190689346,0.0153,445050.0,0.814
